買い方,構成,5年点数,5年的中,5年ROI,直近2年点数,直近2年的中,直近2年ROI,CI下,CI上,7分前ROI,影響pt
馬単表,少頭数/勝率1位軸x勝率上位5/5-30倍,1991,51,103.5,776,29,172.4,97.6,269.5,146.5,-25.8
単勝,道悪/勝率2位/5-30倍,1180,147,96.2,328,55,124.7,93.1,158.3,107.3,-17.4
馬連BOX,道悪/複勝BOX4/5-30倍,2652,60,77.2,756,26,119.5,67.2,179.5,94.8,-24.7
馬単表,少頭数/勝率1位軸x勝率上位3/5-30倍,956,30,94.0,375,15,117.9,57.3,191.3,109.2,-8.7
単勝,荒れR/勝率1位/5-30倍,769,95,93.5,278,42,115.7,81.6,151.7,109.0,-6.7
馬単表,道悪/勝率2位軸x勝率上位5/5-30倍,3819,72,76.8,1086,31,115.0,70.2,165.5,93.0,-22.0
馬連BOX,長距離/連対BOX3/5-30倍,1290,43,85.2,468,22,110.8,63.2,164.5,84.7,-26.1
馬単裏,荒れR/連対1位軸x連対上位5/1-20倍,5183,137,100.3,1893,55,110.6,76.5,148.2,110.0,-0.6
馬単裏,荒れR/勝率1位軸x勝率上位3/1-20倍,2399,73,92.9,915,33,109.1,68.1,156.5,107.9,-1.2
単勝,少頭数/連対1位/5-30倍,491,61,89.8,170,25,108.6,67.5,157.0,102.1,-6.6
馬連BOX,長距離/複勝BOX4/5-30倍,4292,128,87.8,1665,60,108.3,78.2,142.1,89.6,-18.7
単勝,長距離/勝率1位/5-30倍,537,65,84.5,198,30,107.9,71.5,146.9,94.4,-13.5
馬単裏,荒れR/勝率1位軸x勝率上位3/1-99倍,2490,73,89.5,940,33,106.2,65.4,153.7,106.1,-0.1
単勝,荒れR/勝率1位/1-20倍,1310,218,89.6,501,92,102.0,82.1,124.8,99.1,-2.9
